Title,Date Posted,Employer,Location,Salary,Work Hours,Employment Type,Start Date,Vacancies,Languages,Education,Experience,Responsibilities,Benefits,Valid Through,url
shift manager - fast food restaurant,"Posted on February 20, 2024",Cedhar Gestion inc,"Rawdon, QC",17.75 HOUR,40 hours per week,Permanent employmentFull time,Starts as soon as possible,10 vacancies,English or French,Secondary (high) school graduation certificate,3 years to less than 5 years,"Supervise and co-ordinate activities of staff who prepare and portion food, Ensure that food and service meet quality control standards, Maintain records of stock, repairs, sales and wastage, Supervise and check assembly of trays",Health care plan,4/17/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40327121?source=searchresults
grocery packer,"Posted on March 27, 2024",IGA Marché Du Faubourg Saint-Amable inc.,"Saint-Amable, QC",15.25 HOUR,,Part time,Starts as soon as possible,2 vacancies,,,,,,4/25/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40641097?source=searchresults
commissary waiter/waitress,"Posted on March 04, 2024",Cedhar Gestion inc,"Joliette, QC",15.75 HOUR,40 hours per week,Permanent employmentFull time,Starts as soon as possible,10 vacancies,English or French,"Secondary (high) school graduation certificate

or equivalent experience",Experience an asset,"Address customers' complaints or concerns, Present bills to customers and accept payment in cash, credit or debit cards, travellers cheques or room billings, Balance cash and record sales, Clear and clean tables, trays and chairs, Serve food and beverages, Take orders and relay to kitchen and bar staff, Assist clients/guests with special needs, Provide customer service",,4/3/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40420487?source=searchresults
planer grader - wood processing,"Posted on March 21, 2024",AMEX BOIS FRANC INC.,"Plessisville, QC",22.00 HOUR,40 hours per week,Permanent employmentFull time,Starts as soon as possible,1 vacancy,French,"No degree, certificate or diploma",1 year to less than 2 years,Lumber graders and other wood processing inspectors and graders,"As per collective agreement, Group insurance benefits, Life insurance, Registered Retirement Savings Plan (RRSP), Maternity and parental benefits, Tax-Free Savings Account (TFSA), Free parking available, Learning/training paid by employer, On-site amenities, Parking available",4/4/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40578379?source=searchresults
income tax expert,"Posted on March 29, 2024",dupuis,"Joliette, QC","100,000 YEAR",,Permanent employmentFull time,Starts as soon as possible,1 vacancy,,,,,,4/27/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40655341?source=searchresults
"consultant, education","Posted on March 25, 2024",Centre de services scolaire de la Baie-James,"Chibougamau, QC","49,456 YEAR",,Term or contractFull time,Starts as soon as possible,1 vacancy,,,,,,4/23/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40617417?source=searchresults
construction project coordinator,"Posted on March 27, 2024",Centre de services scolaire de Saint-Hyacinthe,"Saint-Hyacinthe, QC",27.08 HOUR,,Term or contractFull time,Starts as soon as possible,1 vacancy,,,,,,4/25/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40632627?source=searchresults
sales consultant - retail,"Posted on March 27, 2024",Club Chaussures | Panda | Nero Bianco,"Alma, QC",15.25 HOUR,,Permanent employmentFull time,Starts as soon as possible,1 vacancy,,,,,,4/25/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40638633?source=searchresults
billing clerk,"Posted on March 05, 2024",SERVICES VETERINAIRES         AMBULATOIRES TRIPLE-V INC.,"Acton Vale, QC",18.75 HOUR,35 hours per week,Permanent employmentFull time,,1 vacancy,,,,,,4/5/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40429880?source=searchresults
horticulture labourer,"Posted on March 18, 2024",MUNICIPALITE DE RACINE,"Racine, QC",24.58 HOUR,35 hours per week,Seasonal employmentFull time,,1 vacancy,,,,,,4/2/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40550098?source=searchresults
nursing coordinator,"Posted on March 27, 2024",CISSS de l'Abitibi-Témiscamingue,"Rouyn-Noranda, QC","82,697.00 HOUR",,Permanent employmentPart time,Starts as soon as possible,1 vacancy,,,,,,4/25/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40640991?source=searchresults
marketing coordinator,"Posted on March 20, 2024",Waste Robotics Inc.,"Trois-Rivières, QC","55,000 YEAR",,Permanent employmentFull time,Starts as soon as possible,1 vacancy,,,,,,4/18/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40571783?source=searchresults
production agent,"Posted on March 07, 2024",Fed Ingénierie,"Saint-Laurent, QC","50,000 YEAR",,Permanent employment,Starts as soon as possible,1 vacancy,,,,,,4/5/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40451524?source=searchresults
industrial mechanic,"Posted on March 05, 2024",PepsiCo Canada,"Lévis, QC",34.55 HOUR,,Full time,Starts as soon as possible,1 vacancy,,,,,,4/3/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40432664?source=searchresults
administrative assistant,"Posted on March 22, 2024",SECRÉTARIAT DU CONSEIL DU TRÉSOR,"Québec, QC",23.71 HOUR,14 hours per week,Casual employmentPart time,,1 vacancy,,,,,,4/5/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40609932?source=searchresults
customer service assistant,"Posted on March 08, 2024",ALTITUDE RESSOURCES HUMAINES  INC.,"Warwick, QC",20.00 HOUR,24 hours per week,Term or contractPart time,,1 vacancy,,,,,,4/8/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40460755?source=searchresults
social services worker,"Posted on March 20, 2024",LE PIOLET,"Québec, QC",24 BIWEEKLY,35 hours per week,Permanent employmentFull time,,1 vacancy,,,,,,4/5/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40567654?source=searchresults
"butcher, industrial","Posted on January 31, 2024",Aliments Asta inc.,"Saint-Alexandre-de-Kamouraska, QC",20.25 HOUR,40 hours per week,Permanent employmentFull time,Starts as soon as possible,50 vacancies,English or French,"No degree, certificate or diploma",Will train,,"Dental plan, Disability benefits, Health care plan, Paramedical services coverage, Vision care benefits, As per collective agreement, Group insurance benefits, Registered Retirement Savings Plan (RRSP), Maternity and parental benefits, Free parking available, On-site amenities",4/9/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40167058?source=searchresults
accounting clerk,"Posted on March 27, 2024",MARYVO AUTOMOBILE LTEE,"Val-d'Or, QC",22.00 HOUR,40 hours per week,Permanent employmentPart time leading to full time,,1 vacancy,,,,,,4/30/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40640459?source=searchresults
clinical nurse,"Posted on March 19, 2024",CRSSSBJ Centre régional de santé et de services sociaux de la Baie-James,"Chibougamau, QC",27.08 HOUR,,Term or contractFull time,Starts as soon as possible,1 vacancy,,,,,,4/17/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40553829?source=searchresults
call centre agent - customer service,"Posted on March 04, 2024",TRANSPORT LIVRIRIS & LIVRIRIS PRO INC.,"LaSalle, QC",18.00 HOUR,40 hours per week,Permanent employmentFull time,Starts as soon as possible,2 vacancies,Bilingual,Secondary (high) school graduation certificate,2 years to less than 3 years,,"Disability benefits, Health care plan, Pension plan, Free parking available",4/2/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40421011?source=searchresults
"caretaker, park","Posted on March 26, 2024",SOCIETE DES ETABLISSEMENTS DE PLEIN AIR DU QUEBEC,"Lac-Supérieur, QC",21.89 HOUR,35 hours per week,Casual employmentFull time,,1 vacancy,,,,,,4/26/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40625321?source=searchresults
psychologist,"Posted on March 13, 2024",Centre de services scolaire de la Pointe-de-l'Île,"Pointe-aux-Trembles, QC","51,739 YEAR",,Term or contract,Starts as soon as possible,1 vacancy,,,,,,4/11/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40504749?source=searchresults
"teacher, secondary school","Posted on March 13, 2024",Centre de services scolaire de la Pointe-de-l'Île,"Pointe-aux-Trembles, QC","46,527 YEAR",,Term or contract,Starts as soon as possible,1 vacancy,,,,,,4/11/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40505036?source=searchresults
"driver, truck","Posted on March 11, 2024",V Murray Transport inc.,"Otterburn Park, QC","80,000 YEAR",,Permanent employmentFull time,Starts as soon as possible,2 vacancies,,,,,,4/9/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40480328?source=searchresults
sporting goods rental-shop attendant,"Posted on March 09, 2024",Village Vacances Valcartier,"Saint-Gabriel-de-Valcartier, QC",15.25 HOUR,,Permanent employmentFull time,Starts as soon as possible,3 vacancies,,,,,,4/7/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40464966?source=searchresults
precision machinist,"Posted on March 26, 2024",Simonex Inc.,"Granby, QC",21.00 HOUR,,Permanent employmentFull time,Starts as soon as possible,1 vacancy,,,,,,4/24/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40624885?source=searchresults
kindergarten teacher,"Posted on March 14, 2024",Centre de services scolaire des Patriotes,"Saint-Bruno-de-Montarville, QC",46.52 HOUR,,,Starts as soon as possible,33 vacancies,,,,,,4/12/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40514967?source=searchresults
construction labourer,"Posted on March 28, 2024",Ville de Trois-Rivières,"Trois-Rivières, QC",22.52 HOUR,,Term or contractFull time,Starts as soon as possible,1 vacancy,,,,,,4/26/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40649809?source=searchresults
"teacher, secondary school","Posted on March 13, 2024",Centre de services scolaire de la Pointe-de-l'Île,"Pointe-aux-Trembles, QC","46,527 YEAR",,Term or contract,Starts as soon as possible,1 vacancy,,,,,,4/11/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40504893?source=searchresults
bus dispatcher,"Posted on March 25, 2024",ACTI-BUS DE LA REGION DE COATICOOK INC.,"Coaticook, QC",23.00 HOUR,35 hours per week,Permanent employmentFull time,,1 vacancy,,,,,,4/15/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40613100?source=searchresults
administrative assistant,"Posted on March 21, 2024","Ministère de l'Immigration, de la Francisation et de l'Intégration","Montréal, QC",20.07 HOUR,35 hours per week,Casual employmentFull time,,2 vacancies,,,,,,4/2/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40581297?source=searchresults
rehabilitation teacher,"Posted on March 19, 2024",CISSS DE LA MONTÉRÉGIE-EST,"Longueuil, QC",23.97 HOUR,1 hours per week,Permanent employmentPart time,,1 vacancy,,,,,,4/8/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40557353?source=searchresults
special education technician - social and community services,"Posted on March 07, 2024",Villa Ignatia,"Québec, QC",24.00 HOUR,,Permanent employment,Starts as soon as possible,4 vacancies,,,,,,4/5/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40444502?source=searchresults
produce clerk,"Posted on March 29, 2024",Pièces d'autos DR - Sherbrooke,"Sherbrooke, QC",19.00 HOUR,,Permanent employmentFull time,Starts as soon as possible,1 vacancy,,,,,,4/27/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40655355?source=searchresults
reading clinician - secondary school,"Posted on March 21, 2024",ACCOMPAGNEMENT SCOLAIRE INC.,"Chicoutimi, QC",30.00 HOUR,5 hours per week,Permanent employmentPart time,,10 vacancies,,,,,,4/30/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40579952?source=searchresults
lawn care superintendent,"Posted on March 07, 2024",Le Réseau D'Experts Nutrite,"Saint-Jérôme, QC",21.00 HOUR,,Seasonal employmentFull time,Starts as soon as possible,1 vacancy,,,,,,4/5/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40447461?source=searchresults
aircraft mechanic,"Posted on March 20, 2024",AEROPRO,"Québec, QC",28.00 HOUR,40 hours per week,Permanent employmentFull time,,1 vacancy,,,,,,4/29/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40567657?source=searchresults
MT (massage therapist),"Posted on March 08, 2024",INSTITUT DE BEAUTÉ AVANTI SPA,"La Prairie, QC",40.00 HOUR,,Full time,Starts as soon as possible,1 vacancy,,,,,,,https://www.jobbank.gc.ca/jobsearch/jobposting/40463094?source=searchresults
child caregiver - private home,"Posted on December 10, 2023",Mildred Bernardez,"Montréal, QC",15.25 HOUR,32 hours per week,Term or contractFull time,Starts as soon as possible,1 vacancy,English,Secondary (high) school graduation certificate,7 months to less than 1 year,"Assume full responsibility for household in absence of parents, Perform light housekeeping and cleaning duties, Bathe, dress and feed infants and children, Discipline children according to the methods requested by the parents, Instruct children in personal hygiene and social development, Keep records of daily activities and health information regarding children, Maintain a safe and healthy environment in the home, Organize, activities such as games and outings for children, Prepare and serve nutritious meals, Prepare infants and children for rest periods, Supervise and care for children, Tend to emotional well-being of children",,4/5/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/39758917?source=searchresults
"attendant, laundry","Posted on March 16, 2024",Alsco inc. - Québec,"Québec, QC",17.39 HOUR,,Permanent employmentFull time,Starts as soon as possible,2 vacancies,,,,,,4/14/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40531489?source=searchresults
software designer,"Posted on March 17, 2024",Element RH,"La Pocatière, QC","65,000 YEAR",,Permanent employmentFull time,Starts as soon as possible,1 vacancy,,,,,,4/15/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40539092?source=searchresults
receptionist-secretary,"Posted on March 20, 2024",LA MAISON SOUTIEN AUX AIDANTS,"Granby, QC",20.44 HOUR,35 hours per week,Permanent employmentFull time,,1 vacancy,,,,,,4/19/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40570464?source=searchresults
purchasing agent,"Posted on March 04, 2024",Clipper Ship Supply Inc.,"Sainte-Catherine, QC","54,000 YEAR",40 hours per week,Permanent employmentFull time,,1 vacancy,Bilingual,"College/CEGEP

or equivalent experience",5 years or more,"Purchase general and specialized equipment, materials or business services, Develop specifications for equipment, materials and supplies to be purchased, Negotiate offers from suppliers, Consult with suppliers, Review quotations, Determine contract terms and conditions, Monitor progress of delivery schedules, Contact clients and suppliers to resolve problems, Plan, organize and oversee operational logistics of the organization, Internal audit, Resolve work problems and recommend measures to improve productivity","Dental plan, Disability benefits, Health care plan, Paramedical services coverage, Vision care benefits, Bonus, Life insurance, Free parking available, On-site amenities",4/3/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40423426?source=searchresults
personal support aide - medical,"Posted on March 18, 2024",Residence Willowdale Inc.,"Pointe-Claire, QC",22.00 HOUR,35 to 40 hours per week,Permanent employmentFull time,Starts as soon as possible,1 vacancy,English or French,Secondary (high) school graduation certificate,1 to less than 7 months,"Supply and empty bed pans, Take patients' blood pressure, temperature and pulse, Serve meal trays and feed patients, Weigh, lift, turn and position patients, Make beds and maintain patients' rooms, Maintain inventory of supplies, Bathe, dress and groom patients, Transport patients in wheelchair or stretcher, Answer call signals to determine patients' needs, Collect specimens, Accompany patients on outside recreational activities and perform other duties related to patient care and comfort, Administer first aid in emergency situations",,4/17/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40546580?source=searchresults
